drug
Z_Drugs
Benzodiazepine
Melatonin
Trazodone
Antihistamine_Pure
Antihistamine_Pain
TCA
Antipsychotic
Mirtazapine
Opioid
Muscle_Relaxant
Cyclobenzaprine
Psycholeptics
Psycholeptics Hypnotics Sedatives
Psychoanaleptics
Psychoanaleptics Antidepressants
Antihistamines for systemic use
Antihistamines (Systemic)
Psychoanaleptics Antidepressants other
Antipruritics including antihistamines anesthetics etc.
Psycholeptics Antianxiety Drugs
Trazodone
Psychoanaleptics Antidepressants SSRI
Antiepileptics
Psycholeptics Antipsychotics
Psychoanaleptics Antidepressants TCA
Cough and cold preparations
Analgesics opioids
SNRI
Cough Suppressants (Narcotic)
Psychoanaleptics Psychostimulants
Mirtazapine
Anti-Parkinson drugs
Other nervous system drugs
Amphetamines
Psychoanaleptics Anti-dementia
Methylphenidate
Sodium oxybate
Armodafinil
Modafinil
Psychoanaleptics Antidepressants MOAI
Psychoanaleptics Psycholeptics
Psychoanaleptics Antidepressants MOI
